R,P,region,max_rbm_residual,mean_rbm_residual
13,70,mature upper,2.115528e-06,1.863164e-06
13,71,mature upper,2.149541e-06,1.9345395e-06
13,72,mature upper,2.238053e-06,1.9598210000000002e-06
13,73,mature upper,2.206572e-06,1.8905575000000002e-06
13,74,mature upper,2.191682e-06,1.82291725e-06
13,75,mature upper,2.173698e-06,1.897604e-06
13,76,mature upper,2.265618e-06,1.9453892500000002e-06
13,77,mature upper,2.227622e-06,1.974156e-06
13,78,mature upper,2.195134e-06,1.9222485e-06
13,79,mature upper,2.090222e-06,1.8948847500000002e-06
13,80,mature upper,2.136564e-06,1.9039167499999999e-06
13,81,mature upper,2.180655e-06,1.924444e-06
13,82,mature upper,2.314515e-06,1.9379535000000002e-06
13,83,mature upper,2.179955e-06,1.92311175e-06
13,84,mature upper,2.191961e-06,1.83455875e-06
13,85,mature upper,2.159096e-06,1.839851e-06
13,86,mature upper,2.250192e-06,1.88740225e-06
13,87,mature upper,2.174883e-06,1.9146745e-06
13,88,mature upper,2.145164e-06,1.84418625e-06
12,43,first lower,0.0005,0.00047824999999999994
12,42,second lower,2.124786e-06,2.05764e-06
12,41,mature lower,1.983674e-06,1.78717625e-06
12,40,mature lower,2.306774e-06,1.9458150000000003e-06
12,39,mature lower,2.253096e-06,1.95085975e-06
12,38,mature lower,2.156159e-06,1.9158527499999996e-06
12,37,mature lower,2.020113e-06,1.83318125e-06
12,36,mature lower,2.149845e-06,1.82941975e-06
12,35,mature lower,2.183375e-06,1.8164714999999998e-06
12,34,mature lower,2.1479e-06,1.8501329999999997e-06
12,33,mature lower,2.191616e-06,1.8842895e-06
12,32,mature lower,2.149486e-06,1.882578e-06
12,31,mature lower,2.086816e-06,1.85112025e-06
12,30,mature lower,2.128269e-06,1.82016475e-06
12,29,mature lower,2.209975e-06,1.8987082500000002e-06
12,28,mature lower,2.271588e-06,1.8943782500000001e-06
12,27,mature lower,2.207157e-06,1.9353092500000002e-06
12,26,mature lower,2.124485e-06,1.88794625e-06
12,25,mature lower,2.077627e-06,1.8426127499999998e-06
12,24,mature lower,2.099622e-06,1.88106675e-06
12,23,mature lower,2.235349e-06,1.9200425e-06
12,22,mature lower,2.179336e-06,1.8872697499999999e-06
12,21,mature lower,2.174215e-06,1.86223075e-06
12,20,mature lower,2.083813e-06,1.837499e-06
12,19,mature lower,2.19055e-06,1.83869875e-06
12,18,mature lower,2.267006e-06,1.8861905e-06
12,17,mature lower,2.241872e-06,1.89284025e-06
12,16,mature lower,2.166652e-06,1.8144274999999997e-06
12,15,mature lower,2.134087e-06,1.82489e-06
12,14,mature lower,2.13913e-06,1.86410775e-06
12,13,mature lower,2.182401e-06,1.90531625e-06
12,12,mature lower,2.140824e-06,1.8440137500000002e-06
12,11,mature lower,2.144054e-06,1.841482e-06
12,10,mature lower,2.205324e-06,1.8663580000000001e-06
12,9,mature lower,2.20812e-06,1.8530954999999999e-06
12,8,mature lower,2.195231e-06,1.89069925e-06
12,7,mature lower,2.158873e-06,1.8237375e-06
12,6,mature lower,2.160572e-06,1.81075575e-06
12,5,mature lower,2.154354e-06,1.8804487499999998e-06
12,4,mature lower,2.224637e-06,1.9289000000000003e-06
12,3,mature lower,2.147437e-06,1.8782665e-06
12,2,mature lower,2.18092e-06,1.8686019999999998e-06
12,1,mature lower,2.146375e-06,1.8646135000000002e-06
12,0,mature lower,2.154134e-06,1.80462375e-06
12,45,first upper,0.0005,0.00047824999999999994
12,46,second upper,2.124783e-06,2.0576525e-06
12,47,mature upper,1.983678e-06,1.7871789999999999e-06
12,48,mature upper,2.306779e-06,1.9458185000000003e-06
12,49,mature upper,2.253097e-06,1.9508665000000003e-06
12,50,mature upper,2.156159e-06,1.91586425e-06
12,51,mature upper,2.020111e-06,1.8331705e-06
12,52,mature upper,2.149853e-06,1.82942775e-06
12,53,mature upper,2.183314e-06,1.81645875e-06
12,54,mature upper,2.147922e-06,1.850148e-06
12,55,mature upper,2.191609e-06,1.88422775e-06
12,56,mature upper,2.149503e-06,1.882576e-06
12,57,mature upper,2.086789e-06,1.85113325e-06
12,58,mature upper,2.128144e-06,1.8200914999999998e-06
12,59,mature upper,2.21017e-06,1.898951e-06
12,60,mature upper,2.271775e-06,1.8943754999999999e-06
12,61,mature upper,2.208403e-06,1.9354185e-06
12,62,mature upper,2.124e-06,1.8880762499999998e-06
12,63,mature upper,2.077862e-06,1.84326e-06
12,64,mature upper,2.099859e-06,1.88036925e-06
12,65,mature upper,2.235664e-06,1.91754425e-06
12,66,mature upper,2.176787e-06,1.8851239999999998e-06
12,67,mature upper,2.172238e-06,1.8622300000000001e-06
12,68,mature upper,2.080123e-06,1.8371080000000002e-06
12,69,mature upper,2.191758e-06,1.8384597500000002e-06
12,70,mature upper,2.265365e-06,1.8849925e-06
12,71,mature upper,2.245008e-06,1.8976709999999999e-06
12,72,mature upper,2.15885e-06,1.8082127500000002e-06
12,73,mature upper,2.105011e-06,1.8136685e-06
12,74,mature upper,2.172643e-06,1.8362107499999997e-06
12,75,mature upper,2.29184e-06,1.90901625e-06
12,76,mature upper,2.156434e-06,1.8608692499999999e-06
12,77,mature upper,2.139002e-06,1.85476525e-06
12,78,mature upper,2.199944e-06,1.8536675e-06
12,79,mature upper,2.187028e-06,1.858182e-06
12,80,mature upper,2.22433e-06,1.9274262499999997e-06
12,81,mature upper,2.145342e-06,1.8947260000000001e-06
