R,P,region,rbm_cycles,baseline_cycles,cycle_speedup,cycle_saved,rbm_time_s,baseline_time_s,time_speedup,time_saved_s,max_abs_energy_diff
1,36,mature lower,17,85,5.0,68,1.45,16.5,11.379310344827587,15.05,1.7100210136788974e-13
1,37,mature lower,17,85,5.0,68,1.49,15.399999999999999,10.335570469798657,13.909999999999998,1.7608137170554983e-13
1,38,mature lower,18,85,4.722222222222222,67,1.5499999999999998,15.899999999999999,10.258064516129032,14.349999999999998,1.615652056585759e-13
1,39,mature lower,20,85,4.25,65,1.64,16.3,9.939024390243903,14.66,1.5634715744283767e-13
1,40,mature lower,20,85,4.25,65,1.71,15.2,8.88888888888889,13.489999999999998,2.1946333639277782e-13
1,41,mature lower,17,85,5.0,68,1.49,15.299999999999999,10.268456375838925,13.809999999999999,1.6311951789305112e-13
1,42,second lower,13,85,6.538461538461538,72,1.2,16.2,13.5,15.0,1.6989187834326458e-13
1,43,first lower,105,85,0.8095238095238095,-20,9.43,14.799999999999999,1.569459172852598,5.369999999999999,8.66806626476091e-14
1,44,center seed,119,97,0.8151260504201681,-22,10.299999999999999,17.8,1.7281553398058256,7.500000000000002,4.951594689828198e-14
1,45,first upper,105,85,0.8095238095238095,-20,9.389999999999999,16.0,1.7039403620873272,6.610000000000001,4.9182879990894435e-14
1,46,second upper,13,85,6.538461538461538,72,1.2,16.099999999999998,13.416666666666666,14.899999999999999,1.3500311979441904e-13
1,47,mature upper,17,85,5.0,68,1.49,16.0,10.738255033557047,14.51,1.8074430840897548e-13
1,48,mature upper,20,85,4.25,65,1.71,16.099999999999998,9.415204678362572,14.389999999999997,2.0175527915000657e-13
1,49,mature upper,20,85,4.25,65,1.64,16.0,9.75609756097561,14.36,1.5162870958818075e-13
1,50,mature upper,18,85,4.722222222222222,67,1.54,15.799999999999999,10.259740259740258,14.259999999999998,1.5060175329040248e-13
1,51,mature upper,17,85,5.0,68,1.49,16.5,11.073825503355705,15.01,1.5007439735370554e-13
1,52,mature upper,17,85,5.0,68,1.45,16.4,11.310344827586206,14.95,2.4577562207639403e-13
1,53,mature upper,18,85,4.722222222222222,67,1.54,15.799999999999999,10.259740259740258,14.259999999999998,1.7214007996813052e-13
1,54,mature upper,19,85,4.473684210526316,66,1.5899999999999999,16.099999999999998,10.125786163522012,14.509999999999998,1.012800954214299e-13
1,55,mature upper,18,85,4.722222222222222,67,1.52,15.6,10.263157894736842,14.08,2.1813106876322763e-13
1,56,mature upper,17,85,5.0,68,1.45,16.3,11.24137931034483,14.850000000000001,1.496580637194711e-13
1,57,mature upper,18,85,4.722222222222222,67,1.49,15.799999999999999,10.604026845637582,14.309999999999999,1.5304424394457783e-13
